12	10	E	-8069052.842542486	51
emissionprobs	12	0	H2AFZ	0	0.7555962169084417
emissionprobs	12	0	H2AFZ	1	0.24440378309155827
emissionprobs	12	1	H3K27ac	0	0.9524169511775393
emissionprobs	12	1	H3K27ac	1	0.04758304882246063
emissionprobs	12	2	H3K27me3	0	0.8367218867681414
emissionprobs	12	2	H3K27me3	1	0.16327811323185862
emissionprobs	12	3	H3K36me3	0	0.9954704113990479
emissionprobs	12	3	H3K36me3	1	0.004529588600952055
emissionprobs	12	4	H3K4me1	0	0.2257987350757276
emissionprobs	12	4	H3K4me1	1	0.7742012649242724
emissionprobs	12	5	H3K4me2	0	0.23541851032928862
emissionprobs	12	5	H3K4me2	1	0.7645814896707114
emissionprobs	12	6	H3K4me3	0	0.7093752794034346
emissionprobs	12	6	H3K4me3	1	0.2906247205965655
emissionprobs	12	7	H3K79me2	0	0.9753717105483009
emissionprobs	12	7	H3K79me2	1	0.02462828945169914
emissionprobs	12	8	H3K9ac	0	0.8610867251881611
emissionprobs	12	8	H3K9ac	1	0.13891327481183893
emissionprobs	12	9	H3K9me3	0	0.9939938054458629
emissionprobs	12	9	H3K9me3	1	0.006006194554137083
